event,station,included_in_analysis,status,reason,valid_observations,expected_observations,positive_observations,network_wet_hours,zero_when_network_wet_fraction,minimum_mm,maximum_mm
Aug17-19,Amoranto Sport Complex,True,active,,61,72,38,20,0.000,0.000,63.500
Aug17-19,Aurora A. Quezon ES,True,active,,63,72,40,20,0.000,0.000,56.500
Aug17-19,Bagong Lipunan ng Crame Brgy. Hall,True,active,,63,72,42,20,0.000,0.000,42.000
Aug17-19,Bagong Silangan Evacuation Center,True,active,,63,72,41,20,0.000,0.000,49.000
Aug17-19,Bagumbayan ES,True,active,,63,72,42,20,0.000,0.000,36.000
Aug17-19,Balingasa Elementary School,True,active,,63,72,42,20,0.000,0.000,77.220
Aug17-19,Balingasa High School,True,active,,56,72,51,20,0.000,0.000,72.010
Aug17-19,Batasan Hills,True,active,,63,72,60,20,0.000,0.000,41.100
Aug17-19,Brgy Baesa Hall,True,active,,63,72,36,20,0.100,0.000,56.000
Aug17-19,Brgy Fairview (REC),True,active,,63,72,38,20,0.100,0.000,28.500
Aug17-19,Brgy N.S Amoranto Hall,True,active,,63,72,32,20,0.050,0.000,74.000
Aug17-19,Brgy Valencia Hall,True,active,,60,72,39,20,0.000,0.000,46.500
Aug17-19,Brgy.Tatalon Multipurpose Hall,True,active,,63,72,43,20,0.000,0.000,63.000
Aug17-19,Carlos P. Garcia HS,True,active,,63,72,42,20,0.000,0.000,52.500
Aug17-19,Commonwealth High School,True,active,,56,72,44,20,0.263,0.000,37.550
Aug17-19,Dona Imelda,True,active,,63,72,44,20,0.000,0.000,53.500
Aug17-19,Dona Juana Elementary School,True,active,,63,72,14,20,0.700,0.000,19.600
Aug17-19,Emilio Jacinto Sr HS,True,active,,63,72,38,20,0.100,0.000,65.000
Aug17-19,Flora A Ylagan High School,True,active,,63,72,44,20,0.000,0.000,60.010
Aug17-19,Holy Spirit,True,active,,63,72,43,20,0.000,0.000,156.500
Aug17-19,Ismael Mathay Senior High School,True,active,,55,72,51,20,0.053,0.000,53.180
Aug17-19,Jose Maria Panganiban Senior High School,True,active,,63,72,40,20,0.100,0.000,37.500
