event,start_timestamp,end_timestamp,calendar_days,input_sensors,active_sensors,excluded_sensors,spatially_matched_active_sensors,rejected_hourly_values,hourly_review_values,severe_hourly_review_values,daily_sensor_review_values,systematic_sensor_review_candidates,valid_cell_completeness_percent,event_total_mean_all_sensors_mm,event_total_median_mm,event_total_trimmed_mean_mm,event_total_review_excluded_mean_mm,mean_daily_all_sensors_mm,wettest_day,wettest_day_mean_mm,peak_network_mean_hour_timestamp,peak_network_mean_hour_mm,highest_retained_station_hour_timestamp,highest_retained_station_hour_station,highest_retained_station_hour_mm
CDEHab,2025-07-19 00:00,2025-07-21 23:00,3,55,23,32,20,0,69,30,5,2,100.000,555.036,503.500,516.079,504.776,185.012,2025-07-21,309.011,2025-07-21 18:00,41.465,2025-07-21 12:00,Ismael Mathay Senior High School,161.000
MDHab,2026-08-07 00:00,2026-08-09 23:00,3,62,62,0,57,0,113,76,15,6,100.000,271.993,250.300,250.018,240.659,90.664,2026-08-08,128.705,2026-08-09 10:00,22.432,2026-08-09 10:00,Holy Spirit,101.000
